브랜드,차종,외관 만족도,내부 만족도,아쉬운 점,만족스러운 점,가격대,연비,KB 차차차        저가 링크,KB 차차차          고가 링크,SK 엔카             저가 링크,SK 엔카                  고가 링크,대전 중고차 링크,연비,총 만족도+ 감성점수(10점만점)
BMW,3시리즈-m sport,5,5,살짝 비쌈,외관이 너무 멋있음,4100~4500,,바로가기 저가,바로가기 고가,바로가기 고가,바로가기 저가,대전 바로가기,11km/ℓ,10
BMW,Z4,5,5, 2인승임,"예쁨, 컨버터블임",4000~4800,,바로가기 저가,X,X,바로가기 저가,대전 바로가기,10.5km/ℓ,9
벤츠,C-카브리올레(c200)(구형),5,4,한 세대 전 차임,"한 세대 전차라서 24년식도 감가가 엄청 되어있음, 카브리올레임",3800~4500,,바로가기 저가,바로가기 고가,바로가기 고가,바로가기 저가,대전 바로가기,10.5km/ℓ,8.5
BMW,3시리즈-기본형,4,4,23년형 전차들은 실내가 옛날 차 같음,그럼에도 밸런스가 너무 좋음,3800~4200,,바로가기 저가,바로가기 고가,바로가기 고가,바로가기 저가,https://fem.encar.com/cars/detail/38568197?pageid=fc_carsearch&listAdvType=normal&carid=38568197&view_type=normal&adv_attribute=&wtClick_forList=019&advClickPosition=imp_normal_p1_g20&tempht_arg=vn1382Yjvju4_19,11km/ℓ,8.5
아우디,A5 카브리올레,4,3,실내가 이것도 안이쁨,"컨버터블 차임, 가격적으로 합리적임, 4륜",3800~4200,,바로가기 저가,바로가기 고가,바로가기 고가,바로가기 저가,https://fem.encar.com/cars/detail/38570088?pageid=fc_carsearch&listAdvType=normal&carid=38570088&view_type=normal&adv_attribute=&wtClick_forList=019&advClickPosition=imp_normal_p1_g7&tempht_arg=136ZfNSF7JO7_6,10.5km/ℓ,8.5
벤츠,CLA,3.5,5,"차가 짧아서 여자차 같음, 트렁크 수동","전체적으로 밸런스가 좋음, 벤츠임",3800~4500,,바로가기 저가,바로가기 고가,바로가기 고가,바로가기 저가,https://fem.encar.com/cars/detail/38284100?pageid=fc_carsearch&listAdvType=normal&carid=38284100&view_type=hs_ad&adv_attribute=hs_ad&wtClick_forList=019&advClickPosition=imp_normal_p1_g14&tempht_arg=X1ptA3QT82f4_13,10.5km/ℓ,8
벤츠,C-coupe(c200)(구형),4,4,한 세대 전 차임,"한 세대 전차라서 24년식도 감가가 엄청 되어있음, 쿠페형임",3800~4100,,바로가기 저가,바로가기 고가,바로가기 고가,바로가기 저가,https://www.kbchachacha.com/public/car/detail.kbc?carSeq=26515351,11km/ℓ,8
아우디,A5 쿠페,3,3,"솔직히 이쁜지 모르겠음, 실내가 현대차보다도 못한거 같음(사진상)","가격적으로 합리적임, 쿠페형임",3800~4300,,바로가기 저가,바로가기 고가,바로가기 고가,X,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61072246,11km/ℓ,8
아우디,A4,,,,,,,X,X,X,바로가기 저가,X,,
제네시스,G70,3,5,"차가 애매하게 생김,실내가 검은색이면 못생김, 제네시스","가격이 합리적임, 실내가 화려함",3500~4300,,바로가기 저가,바로가기 고가,바로가기 고가,바로가기 저가,https://fem.encar.com/cars/detail/38634934?pageid=dc_carsearch&listAdvType=normal&carid=38634934&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1_g7&tempht_arg=1N3AG67lytC7_6,10.5km/ℓ,7.5
포드,머스탱(23년형),5,2,실내가 거의 무슨 10년전 아반떼 수준임,"배기 소리가 죽임, 외관이 맘에듬, 페이스 리프트 전이라 가격이 합리적임",3200~4000,,머스탱 쿠페,머스탱 컨버터블,바로가기 고가,바로가기 저가,https://fem.encar.com/cars/detail/37904800?pageid=fc_carsearch&listAdvType=normal&carid=37904800&view_type=checked&adv_attribute=&wtClick_forList=019&advClickPosition=imp_normal_p1_g44&tempht_arg=E1D2kopkU912_43,9.5km/ℓ,6
아우디,A6,3.5,3,연비가 안좋음(9.8km),"중형인데 쌈, C-class보다도 쌈, 중후하니 이쁨",4300~4600,,,바로가기,,,,10.5km/ℓ,5
벤츠,C-class(신형),5,5,너무 비쌈,"완성형 차임, 아빠가 좋아하는 4륜구동, 하이브리드(연비좋음)",4500~5500,,바로가기,,,,,12km/ℓ,10
BMW,4시리즈,5,4,너무 비쌈,외관이 멋있고 쿠페임,4300~5000,,바로가기,,,,,11km/ℓ,10
포드,머스탱(24년형),5,4,너무 비쌈,이쁘다,5000~5300,,바로가기,,,,,9.5km/ℓ,10
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
가격이 비싼 자동차는 빨간색으로 표시,,,,,,,,,,,,,,
진지하게 고려하는 차는 하늘색으로 표시,,,,,,,,,,,,,,
